outcome,importance,satisfaction
Getting out of bed,5,4
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,4,3
Getting out of bed,5,4
Getting out of bed,5,5
Getting out of bed,4,4
Getting out of bed,5,5
Getting out of bed,3,5
Getting out of bed,5,5
Getting out of bed,5,4
Getting out of bed,5,4
Getting out of bed,5,5
Getting out of bed,4,3
Getting out of bed,5,4
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,4
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,5
Getting out of bed,5,5
Getting submitted paper accepted,4,4
Getting submitted paper accepted,5,5
Getting submitted paper accepted,4,5
Getting submitted paper accepted,3,4
Getting submitted paper accepted,5,5
Getting submitted paper accepted,5,4
Getting submitted paper accepted,3,3
Getting submitted paper accepted,5,5
Getting submitted paper accepted,5,5
Getting submitted paper accepted,5,4
Getting submitted paper accepted,4,3
Getting submitted paper accepted,5,5
Getting submitted paper accepted,1,2
Getting submitted paper accepted,1,4
Getting submitted paper accepted,4,5
Getting submitted paper accepted,5,3
Getting submitted paper accepted,3,5
Getting submitted paper accepted,5,5
Getting submitted paper accepted,5,4
Getting submitted paper accepted,4,5
Getting submitted paper accepted,3,5
Getting submitted paper accepted,5,2
Getting submitted paper accepted,5,4
Getting submitted paper accepted,4,3
Getting submitted paper accepted,5,5
Getting submitted paper accepted,4,5
Completing homework,5,4
Completing homework,5,5
Completing homework,5,5
Completing homework,4,4
Completing homework,5,5
Completing homework,5,5
Completing homework,5,5
Completing homework,4,4
Completing homework,4,5
Completing homework,5,4
Completing homework,5,5
Completing homework,5,5
Completing homework,4,4
Completing homework,5,4
Completing homework,5,5
Completing homework,5,5
Completing homework,5,4
Completing homework,5,5
Completing homework,5,4
Completing homework,5,5
Completing homework,5,3
Completing homework,5,5
Completing homework,5,5
Completing homework,5,4
Completing homework,5,5
Completing homework,5,5
Completing homework,5,4
Completing homework,5,5
Completing homework,3,5
Completing homework,5,5
Completing homework,4,4
Fleeing from meetings,5,4
Fleeing from meetings,5,5
Fleeing from meetings,5,5
Fleeing from meetings,5,5
Fleeing from meetings,4,4
Fleeing from meetings,5,5
Fleeing from meetings,5,3
Fleeing from meetings,4,5
Fleeing from meetings,5,4
Fleeing from meetings,4,5
Fleeing from meetings,5,5
Fleeing from meetings,3,3
Fleeing from meetings,3,4
Fleeing from meetings,5,5
Fleeing from meetings,5,5
Fleeing from meetings,5,5
Fleeing from meetings,5,4
Fleeing from meetings,5,5
Fleeing from meetings,5,5
Having coffee,2,3
Having coffee,5,5
Having coffee,5,5
Having coffee,5,5
Having coffee,5,5
Having coffee,5,5
Having coffee,5,4
Having coffee,4,4
Having coffee,3,3
Having coffee,5,4
Having coffee,3,5
Having coffee,5,5
Having coffee,4,4
Having coffee,5,4
Having coffee,5,5
Having coffee,4,4
Having coffee,5,5
Having coffee,5,4
Having coffee,5,5
Having coffee,5,5
Having coffee,5,5
Having coffee,5,5
Having coffee,5,4
Having coffee,5,5
Having coffee,5,5
Having coffee,5,4
Having coffee,5,4
Having coffee,5,5
Having coffee,5,5
Having coffee,4,4
Discreet napping,2,2
Discreet napping,4,4
Discreet napping,5,4
Discreet napping,3,4
Discreet napping,5,4
Discreet napping,4,4
Discreet napping,5,4
Discreet napping,5,5
Discreet napping,5,5
Discreet napping,3,4
Discreet napping,4,2
Discreet napping,3,5
Discreet napping,5,3
Discreet napping,3,4
Discreet napping,1,4
Discreet napping,3,4
Discreet napping,3,3
Discreet napping,2,5
Discreet napping,2,1
Discreet napping,5,4
Discreet napping,5,5
Discreet napping,5,5
Discreet napping,4,4
Finding cheap food,2,3
Finding cheap food,4,3
Finding cheap food,5,4
Finding cheap food,5,4
Finding cheap food,4,3
Finding cheap food,4,3
Finding cheap food,5,3
Finding cheap food,4,3
Finding cheap food,3,3
Finding cheap food,3,5
Finding cheap food,5,4
Finding cheap food,4,4
Finding cheap food,5,3
Finding cheap food,4,3
Finding cheap food,5,3
Finding cheap food,4,2
Finding cheap food,4,3
Finding cheap food,3,4
Finding cheap food,5,3
Finding cheap food,4,3
Finding cheap food,4,3
Finding cheap food,5,5
Finding cheap food,3,3
Finding cheap food,5,5
Finding cheap food,3,5
Finding cheap food,3,2
Finding cheap food,5,4
Finding cheap food,5,5
Finding cheap food,4,4
Hiding from professors,5,4
Hiding from professors,5,5
Hiding from professors,5,5
Hiding from professors,5,3
Hiding from professors,5,5
Hiding from professors,1,4
Hiding from professors,4,4
Hiding from professors,4,4
Hiding from professors,4,5
Hiding from professors,5,3
Writing papers,3,4
Writing papers,5,5
Writing papers,5,5
Writing papers,3,4
Writing papers,4,3
Writing papers,5,5
Writing papers,5,4
Writing papers,4,5
Writing papers,5,5
Writing papers,5,5
Writing papers,2,4
Writing papers,5,4
Writing papers,3,3
Writing papers,3,3
Writing papers,5,5
Writing papers,5,4
Writing papers,4,1
Writing papers,5,4
Writing papers,2,2
Writing papers,5,5
Writing papers,3,5
Supervising undergrad students,2,3
Supervising undergrad students,2,3
Supervising undergrad students,1,1
Supervising undergrad students,5,5
Supervising undergrad students,4,5
Supervising undergrad students,2,3
Passing exams,5,1
Passing exams,4,2
Passing exams,3,2
Passing exams,5,3
Passing exams,4,2
Passing exams,5,3
Passing exams,4,4
